TITLE: Bill of Materials
DATE: 09/09/2019
DESIGN: max86141_spo2_1mm_apps_p3
VARIANT:do_not_purchase


ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,7,"C1-C5, C10, C11",Pref,20-0022U-BA80,GRM155R60J226ME11,MURATA,22UF,CAPACITOR; SMT (0402); CERAMIC CHIP; 22UF; 6.3V; TOL=20%; TC=X5R ;NOTE: THESE PARTS HAVE 52 WEEKS LEAD TIME; MANUFACTURING DELAYS HAVE BEEN REPORTED ON THIS PRODUCT, 
2,3,"C6, C9, C13",Pref,20-0001U-EA78,GRM033C81A105ME05,MURATA,1UF,CAP; SMT (0201); 1UF; 20%; 10V; X6S; CERAMIC CHIP, 
3,1,C7,Pref,20-0010U-BA12,GRM155R61A106ME44;GRM155R61A106ME11;0402ZD106MAT2A;CL05A106MP5NUNC,MURATA;MURATA;AVX;SAMSUNG,10UF,CAPACITOR; SMT (0402); CERAMIC CHIP; 10UF; 10V; TOL=20%; TG=-55 DEGC TO +85 DEGC; TC=X5R, 
4,1,C8,Pref,20-0001U-AA20,GRM033R61A105ME15,MURATA,1UF,CAPACITOR; SMT (0201); CERAMIC CHIP; 1UF; 10V; TOL=20%; TG=-55 DEGC TO +85 DEGC; TC=X5R, 
5,2,"C12, C15",Pref,20-000U1-BA99,GRM033C71C104KE14,MURATA,0.1UF,CAPACITOR; SMT (0201); CERAMIC CHIP; 0.1UF; 16V; TOL=10%; TG=-55 DEGC TO +125 DEGC; TC=X7S, 
6,1,DS1,Pref,30-CTDBLP31125C8C56J6Q6-00,CT DBLP31.12-5C8C-56-J6Q6,OSRAM,CT DBLP31.12-5C8C-56-J6Q6,DIODE; LED; GREEN; SMT; VF=2.3V; IF=0.02A ;NOTE:SPECIAL ORDER ONLY, 
7,2,"DS2, DS3",Pref,30-SFH7013-00,SFH 7013,OSRAM,SFH 7013,DIODE; LED; RED; GREEN; INFRARED; SMT; VF=2.1V; 3V; 1.3V; IF=0.04A; 0.03A; 0.06A; NOTE: ORDERED DIRECTLY FROM MANUFACTURER, 
8,1,J1,Pref,01-501616257525P-29,5016162575,MOLEX,5016162575,CONNECTOR; FEMALE; SMT; EASY-ON TYPE FPC CONNECTOR; RIGHT ANGLE; 25PINS, 
9,2,"PD1, PD2",Pref,00-SAMPLE-01,VEMD8080,VISHAY SEMICONDUCTORS,VEMD8080,EVKIT CUSTOM - DIODE; SILICON PIN PHOTODIODE; SMT; VR=20V; IR=0.00001A, 
10,13,"R1-R5, R10, R11, R13, R16-R18, R21, R22",Pref,80-0000R-95,CRCW02010000ZS;ERJ-1GN0R00,VISHAY DALE;PANASONIC,0,RESISTOR; 0201; 0 OHM; 0%; JUMPER; 0.05W; THICK FILM, 
11,1,R6,Pref,80-0010R-95,ERJ-1GEF10R0,PANASONIC,10,RESISTOR; 0201; 10 OHM; 1%; 100PPM; 0.05W; THICK FILM 3-LAYER ELECTRODE, 
12,2,"R7, R9",Pref,80-003K3-95,ERJ-1GEF3301C,PANASONIC,3.3K,RESISTOR; 0201; 3.3K OHM; 1%; 100PPM; 0.05W; THICK FILM 3-LAYER ELECTRODE, 
13,2,"R12, R23",Pref,80-0100K-23,N/A,N/A,100K,RESISTOR; 0402; 100K; 1%; 100PPM; 0.0625W; THICK FILM; FORMFACTOR, 
14,1,U1,Pref,00-SAMPLE-02,MAX86141,MAXIM,MAX86141,EVKIT PART-IC; OPTICAL ANALOG FRONT-END (AFE) OPTIMIZE FOR HR ON WRIST APPLICATION; WLP20, 
15,1,U2,Pref,10-KX1221037-L,KX122-1037,KIONIX,KX122-1037,IC; SNSR; +/-2G/4G/8G TRI-AXIS DIGITAL ACCELEROMETER; LGA12, 
16,1,U3,Pref,10-MAX4740ETE-T,MAX4740ETE+,MAXIM,MAX4740ETE+,IC; ASW; QUAD SPDT AUDIO SWITCH; TQFN16-EP 3X3, 
17,1,U4,Pref,00-SAMPLE-03,MAX32664GWEZ+,MAXIM,MAX32664GWEZ+,EVKIT PART - IC; MAX32664GWEZ+; ULTRA-LOW POWER BIOMETRIC SENSOR HUB; WLP16; PACKAGE OUTLINE DRAWING NUMBER: 21-100241; PACKAGE CODE: W161K1+1, 
18,1,Y1,Pref,60-32K76-0ET,CM1610H32768DZB,CITIZEN,32.7680KHZ,CRYSTAL; SMT 1.6MMX1MM; 6PF; 32.7680KHZ; +/-20PPM, 
19,1,PCB,-,N/A,MAX86141_SPO2_1MM_APPS_P3,MAXIM,PCB,PCB:MAX86141_SPO2_1MM_APPS_P3,-,-
TOTAL,44

DO NOT PURCHASE(DNP)
ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,2,"R8, R14",DNP,N/A,N/A,N/A,OPEN,RESISTOR; 0201; OPEN; FORMFACTOR, 
TOTAL,2

PACKOUT (These are purchased parts but not assembled on PCB and will be shipped with PCB)
ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
TOTAL,0
